miRNA,drug
1,25
1,262
1,294
1,332
1,411
1,669
1,686
1,1044
1,1354
1,1453
1,1548
1,1624
1,1989
1,2050
2,1144
4,1454
5,25
5,262
5,294
5,411
5,669
5,1044
5,1144
5,1395
5,1697
6,25
6,411
6,669
6,771
6,1144
6,1285
6,1395
6,1453
6,1454
7,6
7,25
7,294
7,600
7,669
7,1144
7,1285
7,1454
7,1466
7,1624
8,25
8,131
8,294
8,669
8,1019
8,1044
8,1285
8,1460
9,25
9,294
9,378
9,669
9,771
9,1460
9,1461
9,1482
9,1624
11,1144
12,25
12,294
12,669
12,771
12,1044
12,1482
13,25
13,262
13,669
13,771
13,1044
13,1285
13,1482
13,1697
14,31
14,42
14,131
14,294
14,669
14,674
14,1453
14,1460
16,1144
17,1144
17,1728
18,25
18,131
18,1044
18,1094
18,1285
18,1325
18,1453
19,25
19,262
19,411
19,710
19,1285
19,1613
19,1671
20,794
22,25
22,669
22,1453
22,1482
22,1548
22,1696
24,294
30,674
34,25
34,131
34,294
34,575
34,771
34,1476
35,25
35,42
35,294
35,771
35,1285
35,1453
35,1476
35,1482
35,1624
36,25
36,669
36,1285
36,1453
36,1454
36,1482
36,1696
37,25
37,294
37,1454
37,1697
38,6
38,25
38,294
38,669
38,1094
38,1730
43,718
43,1621
43,2066
52,262
52,674
52,1019
52,1403
52,1459
52,1492
56,575
56,1149
56,1285
57,2066
58,294
58,710
58,1094
67,260
68,575
68,1466
75,294
75,1265
75,2066
79,67
79,224
79,262
79,295
79,412
79,420
79,669
79,732
79,961
79,1466
86,1233
88,25
88,246
88,262
88,1482
88,1668
89,119
89,131
89,260
89,262
89,600
89,840
89,870
89,962
89,1044
89,1094
89,1163
89,1285
89,1466
89,1482
89,1696
91,2066
92,25
92,262
92,575
92,669
92,1043
92,1453
92,1482
92,1621
93,1387
95,1629
100,1149
114,1387
115,1387
116,294
118,294
119,262
119,294
119,1094
119,1285
119,1696
119,1697
122,294
122,1697
125,1460
130,294
133,669
133,1144
134,262
134,669
135,1285
137,1144
138,260
138,1285
138,1387
139,438
139,1019
139,1238
139,1387
162,294
165,294
166,6
166,25
166,710
166,1482
167,25
167,1094
167,1285
167,1476
168,294
168,575
168,1144
168,1696
173,6
173,294
173,600
173,674
173,1154
174,1144
176,674
176,1624
176,1696
177,575
177,718
177,1094
177,1297
177,1621
177,2066
180,260
180,600
180,674
180,1094
180,1285
180,2066
182,1476
183,260
183,294
183,674
183,1019
183,1548
185,25
185,260
185,294
185,600
185,1163
185,1285
186,674
186,1285
187,1476
189,262
189,1144
189,1453
190,25
190,1548
191,31
191,131
191,164
191,260
191,294
191,674
191,710
191,864
191,1154
193,262
193,669
193,1015
193,1453
193,1613
193,2050
194,131
194,1453
194,1671
194,2050
195,294
195,600
195,840
195,1019
195,1454
195,1482
195,1613
195,2031
195,2050
197,262
197,669
199,1696
200,119
200,686
200,771
200,1253
200,1291
200,1292
200,1453
200,1624
200,1696
201,1453
201,1476
201,1548
202,294
202,674
204,1149
207,0
207,164
207,661
207,674
207,895
207,1043
207,1094
207,1238
207,1285
207,1548
207,1650
208,25
209,131
209,1094
209,1144
211,674
211,870
211,1292
211,1696
212,25
212,294
212,1629
215,24
215,25
215,131
215,262
215,294
215,1476
216,260
216,600
216,914
216,1453
220,1144
221,60
221,294
221,332
221,575
221,600
221,674
221,676
221,771
221,962
221,1144
221,1274
221,1285
221,1453
221,1466
221,1482
221,1696
223,25
223,119
223,294
223,1403
223,1454
223,1476
223,1482
223,1491
223,1548
223,1621
224,25
224,294
224,669
224,771
224,883
224,1044
224,1285
224,1454
224,1476
224,1548
224,1624
224,1696
225,25
225,119
225,262
225,294
225,674
225,771
225,971
225,1253
225,1285
225,1354
225,1403
225,1453
225,1454
225,1482
225,1491
225,1548
225,1696
226,1144
226,1454
226,1476
226,1548
227,1476
229,131
229,294
229,840
229,1354
229,1482
229,1730
230,1285
231,1454
232,25
232,262
232,1019
232,1144
232,1274
232,1285
232,1466
232,1482
232,1548
232,1821
235,25
235,164
235,262
235,600
235,1019
235,1144
235,1285
235,1453
235,1454
235,1485
235,1548
235,1696
238,246
238,1285
238,1621
239,25
239,1015
239,1453
239,1476
239,1482
239,1548
240,24
240,25
240,294
240,575
240,674
240,1149
240,1453
240,1482
242,294
242,1696
242,1697
243,1149
244,24
244,575
244,1538
245,294
246,6
246,25
246,294
246,1697
247,25
247,1144
247,1285
248,674
248,1144
250,25
252,25
252,67
252,224
252,294
252,412
252,420
252,732
252,840
252,1154
253,1285
255,262
255,294
255,674
259,1149
260,294
260,1453
260,1482
260,1624
260,1696
260,1697
262,294
262,669
262,718
262,771
262,883
262,1285
262,1621
262,1696
262,2066
264,25
264,411
264,1460
267,262
267,1387
267,1453
267,1482
268,262
268,710
268,1285
268,1482
269,25
269,294
269,674
269,864
269,1453
269,1476
270,1144
271,1476
272,164
272,294
272,600
272,674
272,1476
272,1548
274,1354
274,1476
274,1548
278,1285
278,1388
279,294
279,575
279,1144
279,1697
279,2066
280,1265
280,2066
282,1265
282,2066
286,260
287,1395
287,1938
289,1144
290,262
290,1668
291,25
291,294
291,840
291,1154
291,1395
291,1453
291,1482
291,1548
291,1624
291,1833
292,25
292,710
292,771
292,1395
292,1833
293,840
295,294
298,31
298,119
298,131
298,669
298,1094
298,1456
299,31
299,131
299,294
299,411
299,575
299,669
299,674
299,1094
299,1325
299,1454
300,31
300,160
300,294
300,411
300,669
300,674
300,1395
300,1453
300,1455
300,1548
301,1144
301,1668
302,294
302,669
302,674
302,840
302,1094
302,1476
302,1548
302,1624
304,131
304,1144
304,1548
305,6
305,262
305,674
305,1144
306,294
306,575
306,1008
307,674
310,25
310,294
310,710
310,771
310,840
310,1089
310,1453
310,1466
310,1476
310,1482
310,1548
311,25
311,1089
311,1453
311,1476
311,1482
311,1621
312,17
312,25
312,237
312,246
312,262
312,294
312,332
312,600
312,669
312,686
312,710
312,771
312,864
312,883
312,940
312,1019
312,1044
312,1144
312,1253
312,1255
312,1274
312,1285
312,1354
312,1453
312,1454
312,1459
312,1482
312,1548
312,1696
312,1728
312,1730
312,1830
312,1989
313,131
313,294
313,600
313,706
313,1094
313,1285
313,1388
313,1482
313,1548
314,669
314,1144
314,1459
316,294
317,262
317,710
317,1144
317,1292
317,1466
318,1453
318,1482
319,25
319,1453
320,669
321,1548
322,1265
322,1548
323,1144
323,1395
323,1487
323,1548
324,131
324,260
324,294
324,1285
324,1726
326,1476
327,24
330,864
330,971
330,1019
330,1453
330,1454
330,1476
330,1482
330,1548
330,1624
332,260
332,864
332,1149
332,1285
332,1395
332,1453
332,1624
332,1696
332,1728
333,260
333,294
333,1044
333,1149
333,1395
333,1697
333,1728
334,6
334,870
334,1454
334,1629
335,25
335,294
335,1285
339,25
339,262
339,294
339,669
339,754
339,1282
339,1476
339,1548
339,1696
340,25
340,131
340,294
340,669
340,674
340,754
340,1285
340,1453
340,1482
340,1548
340,1696
342,25
342,294
342,600
342,673
342,1141
342,1152
342,1453
342,1482
342,1548
342,1671
342,1696
343,1144
344,1482
345,24
345,25
345,119
345,294
345,912
345,1285
345,1400
345,1453
345,1476
345,1482
345,1513
345,1548
345,1697
348,25
348,262
348,411
348,600
348,1476
348,1548
348,1563
348,1624
348,1696
349,1144
351,25
351,164
351,294
351,771
351,1044
351,1696
353,25
353,294
353,661
353,669
353,895
353,971
353,1043
353,1144
353,1238
353,1453
353,1482
353,1548
353,1629
354,6
354,25
354,67
354,294
354,295
354,661
354,669
354,732
354,771
354,883
354,895
354,1019
354,1043
354,1238
354,1285
354,1435
354,1466
354,1482
354,1621
355,25
355,1482
355,1696
359,1144
362,674
363,1144
365,294
365,674
365,718
365,771
365,864
365,1233
365,1453
365,1482
365,1621
365,1697
366,25
366,262
366,674
366,710
366,864
366,1285
366,1453
366,1482
369,164
369,262
369,674
369,710
369,1043
372,1388
374,25
375,260
375,710
375,1094
378,674
379,674
379,1075
380,674
380,1482
380,1621
381,260
381,1015
381,1395
383,294
387,262
387,294
387,1285
387,1354
387,1460
388,131
388,669
388,710
388,1453
388,1482
389,669
389,1460
389,1696
392,131
392,1697
393,262
393,294
393,710
394,246
394,262
394,294
394,971
394,1285
394,1453
394,1482
398,1285
407,294
412,294
427,0
427,24
427,131
427,710
427,864
427,1285
427,1621
428,1144
428,1453
428,1476
428,1482
431,294
431,1292
431,1696
432,6
435,294
435,1696
438,294
438,1697
442,24
443,1285
448,1144
449,224
449,245
449,732
449,895
449,1019
449,1144
449,1238
449,1285
449,1292
449,1358
449,1466
449,1650
450,674
450,1144
453,25
453,1476
454,25
454,1144
454,1460
455,25
456,771
456,912
456,1278
456,1453
456,1476
457,669
457,971
457,1144
457,1476
459,1144
459,1668
460,901
461,1110
463,294
464,1144
464,1454
465,131
465,575
465,1144
465,1476
465,2066
466,558
466,674
466,1144
466,1476
467,6
467,25
467,260
467,294
467,575
467,1388
467,1453
467,1476
467,1482
467,1548
467,1629
467,1660
468,25
468,669
468,1019
468,1141
469,1019
476,25
476,1476
486,25
486,131
486,260
488,1285
489,294
489,558
489,1285
492,1285
494,1285
495,294
498,294
502,674
502,1043
502,1395
503,294
511,710
511,1265
511,1285
511,1476
512,1325
512,1476
515,674
515,1144
515,1395
515,1989
516,260
516,575
516,1453
517,710
518,294
518,674
518,1460
518,1624
519,131
519,674
519,864
519,1019
519,1453
519,1476
519,1563
519,1620
519,2066
521,131
521,575
525,131
525,771
526,131
526,674
527,1482
527,1668
537,294
538,294
538,575
540,131
540,575
540,674
541,575
541,1696
542,294
542,575
542,674
553,294
556,1144
557,294
558,1621
559,710
559,1144
561,1476
561,1877
561,2066
562,25
564,294
564,1696
565,25
565,131
565,669
565,1285
565,1482
565,1624
566,575
567,1265
571,1285
572,294
574,1285
576,1285
578,31
578,131
578,294
578,674
578,1094
584,294
586,294
587,1141
589,575
589,1019
591,674
609,294
611,1149
618,674
618,1019
618,1388
619,674
619,1019
621,25
624,575
628,661
628,895
628,1043
628,1238
628,1388
628,1671
631,294
634,25
636,260
640,294
678,1453
679,1149
680,25
680,575
680,674
680,710
680,1297
681,674
681,1476
682,674
683,2066
685,674
685,1476
687,294
687,706
687,864
687,1149
687,1453
687,1454
687,1482
690,24
690,1476
690,1821
691,864
695,673
695,1141
695,1152
695,1453
699,25
701,1325
702,24
702,1265
702,1548
703,260
704,674
705,669
705,674
706,674
708,25
713,1548
713,1621
719,1015
723,710
725,1043
725,1325
725,1548
738,674
738,1008
750,1476
751,1019
751,1141
751,1325
752,669
753,669
754,674
757,294
761,1238
762,674
765,674
766,1621
767,669
768,674
769,674
769,1019
769,1476
771,1019
772,674
775,294
775,1387
776,674
777,669
780,1476
782,669
782,674
785,25
790,6
790,1265
790,1624
791,674
791,1453
794,674
808,294
812,260
812,1149
813,25
813,1008
821,1476
822,131
823,1015
824,1149
826,131
827,294
830,674
832,2066
833,25
836,1015
836,1453
838,674
840,1265
841,1149
843,294
843,1668
847,674
848,1476
849,25
850,1149
850,2066
851,600
853,1149
855,674
855,1388
856,25
858,294
859,575
860,575
860,1476
861,674
861,2066
862,674
863,1548
866,1094
866,1149
868,1015
875,1476
877,1476
878,1454
880,1453
882,2066
884,674
885,294
885,2066
888,1015
888,1453
889,1476
890,1453
892,1476
894,294
894,674
894,1453
896,575
896,674
896,1387
896,2066
897,864
897,1265
897,1285
897,2066
898,131
899,260
899,1453
900,294
900,710
902,710
904,1265
904,1453
906,119
906,164
906,294
906,669
906,771
906,864
906,883
906,1015
906,1044
906,1094
906,1453
906,1482
906,1696
909,1453
909,1476
910,1476
914,1476
917,1453
917,1476
919,1149
923,25
923,673
923,1141
923,1152
924,674
924,1149
924,1453
924,1476
924,1482
925,25
925,1019
927,1297
929,1453
929,1476
930,1149
930,1265
930,1460
931,1621
932,25
932,575
932,1624
932,1668
933,1149
934,2066
935,131
935,164
935,294
935,669
935,718
935,771
935,883
935,1044
935,1094
935,1454
935,1457
935,1621
935,1668
935,2066
938,1285
938,1387
942,24
944,1476
949,674
950,260
963,24
965,262
965,294
965,1094
965,1548
970,294
970,674
970,2066
974,294
976,2066
980,294
980,1265
980,1476
981,575
981,674
981,1149
985,294
986,294
986,1624
988,1482
996,673
996,674
996,1141
996,1152
996,1388
997,479
998,294
1001,674
1001,1453
1002,674
1003,1149
1004,1149
1004,1265
1005,25
1005,131
1005,600
1005,669
1005,674
1005,1094
1005,1694
1005,1730
1008,1476
1010,119
1010,912
1010,1285
1010,1548
1011,1476
1012,294
1012,710
1014,674
1014,706
1014,1548
1015,237
1015,294
1015,575
1015,1233
1015,1697
1018,1476
1018,1697
1018,1877
1019,25
1019,294
1019,706
1019,971
1019,1453
1019,1476
1019,1482
1019,1548
1019,1697
1022,1149
1024,260
1025,1285
1026,864
1034,1548
1037,262
1037,575
1037,674
1038,25
1038,164
1038,669
1038,1285
1038,1388
1038,1548
1038,1621
1040,25
1040,131
1040,262
1040,1094
1041,575
1041,1043
1041,1325
1041,1624
1041,1696
1041,2066
