miRNA, drug
hsa-let-7a,712
hsa-let-7a,3229
hsa-let-7a,3385
hsa-let-7a,3652
hsa-let-7a,4091
hsa-let-7a,5757
hsa-let-7a,5865
hsa-let-7a,36462
hsa-let-7a,162282
hsa-let-7a,444732
hsa-let-7a,969516
hsa-let-7a,5280795
hsa-let-7a,21633059
hsa-let-7a,46843772
hsa-let-7a-1,60750
hsa-let-7a-3,444795
hsa-let-7b,712
hsa-let-7b,3229
hsa-let-7b,3385
hsa-let-7b,4091
hsa-let-7b,5757
hsa-let-7b,36462
hsa-let-7b,60750
hsa-let-7b,229455
hsa-let-7b,5310940
hsa-let-7c,712
hsa-let-7c,4091
hsa-let-7c,5757
hsa-let-7c,6623
hsa-let-7c,60750
hsa-let-7c,119307
hsa-let-7c,229455
hsa-let-7c,444732
hsa-let-7c,444795
hsa-let-7d,241
hsa-let-7d,712
hsa-let-7d,3385
hsa-let-7d,5394
hsa-let-7d,5757
hsa-let-7d,60750
hsa-let-7d,119307
hsa-let-7d,444795
hsa-let-7d,446220
hsa-let-7d,5280795
hsa-let-7e,712
hsa-let-7e,2375
hsa-let-7e,3385
hsa-let-7e,5757
hsa-let-7e,31703
hsa-let-7e,36462
hsa-let-7e,119307
hsa-let-7e,445580
hsa-let-7f,712
hsa-let-7f,3385
hsa-let-7f,3902
hsa-let-7f,5757
hsa-let-7f,6623
hsa-let-7f,445580
hsa-let-7f,445639
hsa-let-7f,451668
hsa-let-7f,5280795
hsa-let-7f-2,60750
hsa-let-7g,712
hsa-let-7g,3385
hsa-let-7g,5757
hsa-let-7g,6623
hsa-let-7g,36462
hsa-let-7g,451668
hsa-let-7i,712
hsa-let-7i,3229
hsa-let-7i,5757
hsa-let-7i,6623
hsa-let-7i,36462
hsa-let-7i,119307
hsa-let-7i,451668
hsa-let-7i,5310940
hsa-mir-1,784
hsa-mir-1,985
hsa-mir-1,2375
hsa-mir-1,3385
hsa-mir-1,5757
hsa-mir-1,5793
hsa-mir-1,444732
hsa-mir-1,445580
hsa-mir-1-2,60750
hsa-mir-10,60750
hsa-mir-10,5329102
hsa-mir-100,712
hsa-mir-100,2375
hsa-mir-100,36462
hsa-mir-100,47725
hsa-mir-100,119307
hsa-mir-100,148124
hsa-mir-100,444732
hsa-mir-101,712
hsa-mir-101,3229
hsa-mir-101,4091
hsa-mir-101,5994
hsa-mir-101,119307
hsa-mir-101,5222465
hsa-mir-101,5284373
hsa-mir-101-1,7222
hsa-mir-103,712
hsa-mir-103,5757
hsa-mir-103,444732
hsa-mir-103,451668
hsa-mir-103,969516
hsa-mir-103,5288826
hsa-mir-103a,3385
hsa-mir-105,5793
hsa-mir-106a,712
hsa-mir-106a,2375
hsa-mir-106a,3385
