miRNA, drug
hsa-let-7,702
hsa-let-7,712
hsa-let-7,2336
hsa-let-7,2375
hsa-let-7,2662
hsa-let-7,3220
hsa-let-7,3229
hsa-let-7,3385
hsa-let-7,5311
hsa-let-7,5394
hsa-let-7,5793
hsa-let-7,10635
hsa-let-7,36462
hsa-let-7,47725
hsa-let-7,60823
hsa-let-7,119307
hsa-let-7,229455
hsa-let-7,387447
hsa-let-7,444732
hsa-let-7,444795
hsa-let-7,448537
hsa-let-7,451668
hsa-let-7,460612
hsa-let-7,969516
hsa-let-7,5280453
hsa-let-7,5280795
hsa-let-7,5288826
hsa-let-7,5310940
hsa-let-7,5329102
hsa-let-7a,119
hsa-let-7a,187
hsa-let-7a,280
hsa-let-7a,281
hsa-let-7a,311
hsa-let-7a,444
hsa-let-7a,460
hsa-let-7a,564
hsa-let-7a,586
hsa-let-7a,679
hsa-let-7a,712
hsa-let-7a,727
hsa-let-7a,750
hsa-let-7a,807
hsa-let-7a,936
hsa-let-7a,938
hsa-let-7a,977
hsa-let-7a,978
hsa-let-7a,988
hsa-let-7a,996
hsa-let-7a,1046
hsa-let-7a,1054
hsa-let-7a,1176
hsa-let-7a,1674
hsa-let-7a,1923
hsa-let-7a,1935
hsa-let-7a,1983
hsa-let-7a,1986
hsa-let-7a,1990
hsa-let-7a,2092
hsa-let-7a,2123
hsa-let-7a,2130
hsa-let-7a,2141
hsa-let-7a,2161
hsa-let-7a,2164
hsa-let-7a,2165
hsa-let-7a,2179
hsa-let-7a,2194
hsa-let-7a,2216
hsa-let-7a,2266
hsa-let-7a,2284
hsa-let-7a,2337
hsa-let-7a,2351
hsa-let-7a,2370
hsa-let-7a,2381
hsa-let-7a,2391
hsa-let-7a,2406
hsa-let-7a,2435
hsa-let-7a,2477
hsa-let-7a,2478
hsa-let-7a,2479
hsa-let-7a,2481
hsa-let-7a,2554
hsa-let-7a,2576
hsa-let-7a,2678
hsa-let-7a,2681
hsa-let-7a,2682
hsa-let-7a,2708
hsa-let-7a,2710
hsa-let-7a,2719
hsa-let-7a,2722
hsa-let-7a,2723
hsa-let-7a,2727
hsa-let-7a,2733
hsa-let-7a,2761
hsa-let-7a,2764
hsa-let-7a,2788
hsa-let-7a,2796
hsa-let-7a,2803
hsa-let-7a,2905
hsa-let-7a,2907
hsa-let-7a,2911
hsa-let-7a,2955
hsa-let-7a,2968
hsa-let-7a,2972
hsa-let-7a,2973
hsa-let-7a,2993
hsa-let-7a,3009
hsa-let-7a,3038
hsa-let-7a,3052
hsa-let-7a,3100
hsa-let-7a,3105
hsa-let-7a,3149
hsa-let-7a,3152
hsa-let-7a,3202
hsa-let-7a,3226
hsa-let-7a,3229
hsa-let-7a,3284
hsa-let-7a,3314
hsa-let-7a,3324
hsa-let-7a,3325
hsa-let-7a,3331
hsa-let-7a,3335
hsa-let-7a,3366
hsa-let-7a,3371
hsa-let-7a,3385
hsa-let-7a,3394
hsa-let-7a,3396
hsa-let-7a,3406
hsa-let-7a,3415
hsa-let-7a,3463
hsa-let-7a,3468
hsa-let-7a,3516
hsa-let-7a,3518
hsa-let-7a,3519
hsa-let-7a,3520
hsa-let-7a,3607
hsa-let-7a,3610
hsa-let-7a,3637
hsa-let-7a,3652
hsa-let-7a,3658
hsa-let-7a,3672
hsa-let-7a,3676
hsa-let-7a,3690
hsa-let-7a,3696
hsa-let-7a,3698
hsa-let-7a,3728
hsa-let-7a,3759
hsa-let-7a,3763
hsa-let-7a,3767
hsa-let-7a,3779
hsa-let-7a,3825
hsa-let-7a,3830
hsa-let-7a,3893
hsa-let-7a,3948
hsa-let-7a,3965
hsa-let-7a,4004
hsa-let-7a,4021
hsa-let-7a,4030
hsa-let-7a,4031
hsa-let-7a,4032
hsa-let-7a,4034
hsa-let-7a,4044
hsa-let-7a,4054
hsa-let-7a,4064
hsa-let-7a,4091
hsa-let-7a,4101
hsa-let-7a,4107
hsa-let-7a,4116
hsa-let-7a,4162
hsa-let-7a,4168
hsa-let-7a,4170
hsa-let-7a,4235
hsa-let-7a,4274
hsa-let-7a,4421
hsa-let-7a,4456
hsa-let-7a,4463
hsa-let-7a,4472
hsa-let-7a,4539
hsa-let-7a,4542
hsa-let-7a,4583
hsa-let-7a,4601
hsa-let-7a,4631
hsa-let-7a,4634
hsa-let-7a,4642
hsa-let-7a,4684
hsa-let-7a,4737
hsa-let-7a,4746
hsa-let-7a,4753
hsa-let-7a,4756
hsa-let-7a,4764
hsa-let-7a,4837
hsa-let-7a,4842
hsa-let-7a,4848
hsa-let-7a,4886
hsa-let-7a,4908
hsa-let-7a,4913
hsa-let-7a,4914
hsa-let-7a,4919
hsa-let-7a,4923
hsa-let-7a,4943
hsa-let-7a,4991
hsa-let-7a,4992
hsa-let-7a,5054
hsa-let-7a,5071
hsa-let-7a,5147
hsa-let-7a,5161
hsa-let-7a,5193
hsa-let-7a,5245
hsa-let-7a,5281
hsa-let-7a,5329
hsa-let-7a,5336
hsa-let-7a,5351
hsa-let-7a,5359
hsa-let-7a,5379
hsa-let-7a,5401
hsa-let-7a,5411
hsa-let-7a,5419
hsa-let-7a,5430
hsa-let-7a,5483
hsa-let-7a,5503
hsa-let-7a,5504
hsa-let-7a,5505
hsa-let-7a,5538
hsa-let-7a,5572
hsa-let-7a,5578
hsa-let-7a,5584
hsa-let-7a,5656
hsa-let-7a,5665
hsa-let-7a,5666
hsa-let-7a,5709
hsa-let-7a,5744
hsa-let-7a,5745
hsa-let-7a,5749
hsa-let-7a,5754
hsa-let-7a,5755
hsa-let-7a,5756
hsa-let-7a,5757
hsa-let-7a,5794
hsa-let-7a,5833
hsa-let-7a,5834
hsa-let-7a,5857
hsa-let-7a,5865
hsa-let-7a,5870
hsa-let-7a,5878
hsa-let-7a,5881
hsa-let-7a,5906
hsa-let-7a,5936
hsa-let-7a,5939
hsa-let-7a,5943
hsa-let-7a,5944
hsa-let-7a,5960
hsa-let-7a,5961
hsa-let-7a,5962
hsa-let-7a,5966
hsa-let-7a,5991
hsa-let-7a,5995
hsa-let-7a,5997
hsa-let-7a,6010
hsa-let-7a,6032
hsa-let-7a,6036
hsa-let-7a,6047
hsa-let-7a,6049
hsa-let-7a,6058
hsa-let-7a,6104
hsa-let-7a,6109
hsa-let-7a,6137
hsa-let-7a,6140
hsa-let-7a,6172
hsa-let-7a,6194
hsa-let-7a,6215
hsa-let-7a,6224
hsa-let-7a,6230
hsa-let-7a,6262
hsa-let-7a,6267
hsa-let-7a,6291
hsa-let-7a,6337
